,RPTR_4_0,RPTR_3_0,RPTR_2_240,RPTR_2_5,RPTR_2_10,RPTR_2_30,RPTR_4_10,RPTR_3_180,RPTR_4_180,RPTR_4_30,RPTR_4_5,RPTR_4_15,RPTR_2_0,RPTR_3_5,RPTR_3_10,new1,new2,new3,new4
0,RPTR_4_0,RPTR_3_0,RPTR_2_240,RPTR_2_5,RPTR_2_10,RPTR_2_30,RPTR_4_10,RPTR_3_180,RPTR_4_180,RPTR_4_30,RPTR_4_5,RPTR_4_15,RPTR_2_0,RPTR_3_5,RPTR_3_10,RPTR_3_15,RPTR_2_180,RPTR_3_240,RPTR_4_240
1, 35752202, 29208826, 28851158, 29897603, 34031691, 25144079, 31258832, 29946720, 35752625, 28002280, 33756214, 27600242, 29281808, 30746712, 33975374, 33586682, 29459066, 27239158, 34554681
2, 35413536, 28941266, 28590503, 29632938, 33749792, 24935638, 30996924, 29655761, 35456767, 27783882, 33453868, 27380567, 29029700, 30473570, 33680687, 33318054, 29210101, 26969117, 34264901
3,20167251,16351793,19737534,19608267,23287491,17462373,21166978,19801750,23948097,19260390,21778942,18992959,16845879,19962782,23095989,23211186,20377920,18288653,23209210
4, 3349, 3386, 3354, 3321, 3346, 3335, 3358, 3368, 3406, 3372, 3389, 3360, 3315, 3359, 3353, 3368, 3360, 3356, 3423
